Plug_ID,Date,Period,Species,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,Sample.Date,vol_mL,surface.area.cm2,cellometer.cells.cm2,Tech,haemo.cells.cm2
1045,20210722,Post-homogenizing,Pacuta,1,ATAC,Ambient,Ambient,12 week,Physiology,20181215,20,20.3158649182187,927025.9183720071,Emma Strand,976795.4514527464
1048,Spring-2021,Pre-homogenizing,Pacuta,1,ATAC,Ambient,Ambient,6 week,Physiology,20181103,18.5,17.2462040858991,461797.27204502677,Sierra Gray,438913.00924140174
1098,20210722,Post-homogenizing,Pacuta,2,HTHC,High,High,Day 1,Physiology,20180922,22.5,19.0718915780075,689758.5352870565,Emma Strand,749794.5309467812
1116,Spring-2021,Pre-homogenizing,Pacuta,1,ATAC,Ambient,Ambient,Day 1,Physiology,20180922,32,27.9273708595825,524789.822632774,Sierra Gray,635298.6935801898
1170,20210723,Post-homogenizing,Pacuta,2,HTHC,High,High,6 week,Physiology,20181103,46,61.783134500005,397584.2306932163,Emma Strand,371028.9793298117
1226,20210722,Post-homogenizing,Mcapitata,3,ATHC,Ambient,High,4 week,Physiology,20181020,42.5,11.3664164274911,2141249.4860269264,Emma Strand,2199828.4882639847
1240,20210526,Pre-homogenizing,Pacuta,4,HTAC,High,Ambient,1 week,Physiology,20180929,7.5,10.3506540237935,129701.94896998168,Emma Strand,199866.59734201085
1253,20210724,Post-homogenizing,Pacuta,3,ATHC,Ambient,High,Day 1,Physiology,20180922,14.5,11.9973525460874,179477.09644510047,Emma Strand,244741.4951524097
1256,20210722,Post-homogenizing,Pacuta,3,ATHC,Ambient,High,6 week,Physiology,20181103,13,14.7045607145325,566105.5433710716,Emma Strand,525044.9643099735
1258,20210526,Pre-homogenizing,Pacuta,3,ATHC,Ambient,High,1 week,Physiology,20180929,19,16.9061250432515,358509.11929812084,Emma Strand,493246.61136453395
1294,20210526,Pre-homogenizing,Pacuta,3,ATHC,Ambient,High,1 week,Physiology,20180929,18,10.0239991538819,325019.97954960965,Emma Strand,625498.85567098
1327,20210724,Post-homogenizing,Pacuta,4,HTAC,High,Ambient,8 week,Physiology,20181117,15,13.4337390288492,20768.603543722445,Emma Strand,21504.7268871678
1353,20210719,Post-homogenizing,Mcapitata,5,HTHC,High,High,4 week,Physiology,20181020,24.5,12.0107767188235,1206222.2956789583,Emma Strand,1117376.1589059122
1432,20210722,Post-homogenizing,Pacuta,2,HTHC,High,High,1 week,Physiology,20180929,22.5,26.2180261978535,629910.1189147527,Emma Strand,667956.4612470244
1494,20210724,Post-homogenizing,Mcapitata,7,HTAC,High,Ambient,4 week,Physiology,20181020,47.5,21.980462337494,1330101.6853557792,NA,NA
1537,20210526,Pre-homogenizing,Pacuta,7,HTAC,High,Ambient,6 week,Physiology,20181103,18.5,16.3691581338078,231685.70851345223,Emma Strand,289607.1356418153
1686,20210526,Pre-homogenizing,Pacuta,8,ATAC,Ambient,Ambient,8 week,Physiology,20181117,17.5,8.46679511649533,319129.0166849392,Emma Strand,448516.81749113864
1695,20210724,Post-homogenizing,Mcapitata,11,ATHC,Ambient,High,4 week,Physiology,20181020,72.5,33.0643542932601,667675.219186121,Emma Strand,874641.1373392354
1710,Spring-2021,Pre-homogenizing,Pacuta,9,HTAC,High,Ambient,1 week,Physiology,20180929,49,60.5212622628124,590492.200545069,Sierra Gray,491627.03777861083
1717,20210526,Pre-homogenizing,Mcapitata,11,ATHC,Ambient,High,1 week,Physiology,20180929,27,18.5349246685639,564232.1286440003,Emma Strand,1470871.9073586785
1718,20210526,Pre-homogenizing,Mcapitata,11,ATHC,Ambient,High,1 week,Physiology,20180929,40,30.1647329822644,547659.4143801328,Emma Strand,873720.8305822405
1748,20210526,Pre-homogenizing,Pacuta,10,HTHC,High,High,2 week,Physiology,20181006,18.5,12.3150579675082,310960.777456645,Emma Strand,371175.0020768729
1822,20210722,Post-homogenizing,Mcapitata,10,HTHC,High,High,6 week,Physiology,20181103,40,19.7252013178306,1113296.622232659,Emma Strand,1206578.3064270166
2018,20210526,Pre-homogenizing,Mcapitata,10,HTHC,High,High,16 week,Physiology,20190112,17.5,13.4784862713028,228945.09600113006,Emma Strand,649182.69187466
2156,20210526,Pre-homogenizing,Pacuta,4,HTAC,High,Ambient,8 week,Physiology,20181117,15,11.352992254755,32898.81571473513,Emma Strand,42083.86362438229
2165,20210526,Pre-homogenizing,Mcapitata,5,HTHC,High,High,1 week,Physiology,20180929,29,25.2872835548178,527537.881681974,Emma Strand,1127707.7905520457
2184,20210723,Post-homogenizing,Mcapitata,9,HTAC,High,Ambient,4 week,Physiology,20181020,37.5,15.3668199028463,1765573.5000170495,Emma Strand,1603834.3319666507
2376,NA,NA,Mcapitata,7,HTAC,High,Ambient,4 week,Physiology,20181020,32.5,23.5287169263899,NA,Emma Strand,1155296.269402635
2384,Spring-2021,Pre-homogenizing,Pacuta,7,HTAC,High,Ambient,Day 2,Physiology,20180923,30,24.7637408181103,214830.22452364548,Sierra Gray,590076.4390698816
2393,Spring-2021,Pre-homogenizing,Pacuta,8,ATAC,Ambient,Ambient,8 week,Physiology,20181117,30,40.1209944281988,257969.6776589756,Sierra Gray,395885.83383092395
2525,20210724,Post-homogenizing,Mcapitata,10,HTHC,High,High,4 week,Physiology,20181020,50,23.0901939503442,856424.161811998,Emma Strand,975642.6397380676
2728,20210723,Post-homogenizing,Pacuta,12,ATHC,Ambient,High,2 week,Physiology,20181006,18,14.7716815782129,732956.4980583522,Emma Strand,737898.3863337986
2858,20210526,Pre-homogenizing,Pacuta,12,ATHC,Ambient,High,4 week,Physiology,20181020,17,34.0980155939392,181310.6488939556,Emma Strand,147906.9454771957
2998,20210526,Pre-homogenizing,Pacuta,12,ATHC,Ambient,High,8 week,Physiology,20181117,19.5,18.9465992991374,492990.84508665645,Emma Strand,550054.7355293013
