Date,ATAC,ATHC,HTAC,HTHC
2018-09-22,"27.188 ± 0.045, n=144","27.199 ± 0.037, n=144","28.406 ± 0.078, n=144","28.548 ± 0.089, n=144"
2018-09-23,"26.818 ± 0.028, n=144","26.831 ± 0.021, n=144","29.201 ± 0.017, n=144","29.57 ± 0.013, n=144"
2018-09-24,"27.232 ± 0.048, n=144","27.172 ± 0.044, n=144","29.397 ± 0.011, n=144","29.454 ± 0.023, n=144"
2018-09-25,"27.671 ± 0.061, n=144","27.679 ± 0.06, n=144","29.49 ± 0.019, n=144","29.614 ± 0.014, n=144"
2018-09-26,"27.974 ± 0.043, n=144","27.977 ± 0.04, n=144","29.292 ± 0.022, n=144","29.373 ± 0.026, n=144"
2018-09-27,"27.77 ± 0.018, n=144","27.847 ± 0.02, n=144","29.067 ± 0.009, n=144","29.145 ± 0.015, n=144"
2018-09-28,"28.041 ± 0.03, n=144","28.168 ± 0.032, n=144","28.947 ± 0.014, n=144","29.038 ± 0.009, n=144"
2018-09-29,"28.145 ± 0.028, n=139","28.194 ± 0.03, n=139","28.954 ± 0.014, n=139","29.094 ± 0.005, n=139"
2018-09-30,"28.194 ± 0.035, n=144","28.194 ± 0.032, n=144","29.126 ± 0.011, n=144","29.075 ± 0.005, n=144"
2018-10-01,"28.39 ± 0.038, n=144","28.398 ± 0.035, n=144","29.142 ± 0.017, n=144","29.103 ± 0.008, n=144"
2018-10-02,"28.589 ± 0.034, n=144","28.591 ± 0.035, n=144","29.512 ± 0.028, n=144","29.49 ± 0.022, n=144"
2018-10-03,"28.293 ± 0.019, n=144","28.262 ± 0.021, n=144","29.563 ± 0.01, n=144","29.673 ± 0.006, n=144"
2018-10-04,"28.132 ± 0.024, n=144","28.098 ± 0.028, n=144","29.493 ± 0.008, n=144","29.665 ± 0.004, n=144"
2018-10-05,"28.083 ± 0.028, n=144","28.045 ± 0.028, n=144","29.539 ± 0.009, n=144","29.65 ± 0.006, n=144"
2018-10-06,"27.785 ± 0.016, n=144","27.843 ± 0.014, n=144","29.456 ± 0.006, n=144","29.675 ± 0.008, n=144"
2018-10-07,"27.846 ± 0.03, n=144","27.933 ± 0.024, n=144","29.415 ± 0.009, n=144","29.776 ± 0.006, n=144"
2018-10-08,"27.764 ± 0.027, n=141","27.848 ± 0.024, n=141","29.418 ± 0.007, n=141","29.72 ± 0.009, n=141"
2018-10-09,"27.7 ± 0.03, n=141","27.753 ± 0.024, n=141","29.569 ± 0.02, n=141","29.682 ± 0.005, n=141"
2018-10-10,"27.571 ± 0.036, n=78","27.673 ± 0.032, n=78","29.465 ± 0.009, n=78","29.648 ± 0.007, n=78"
2018-10-11,"27.317 ± 0.022, n=144","27.443 ± 0.022, n=144","29.482 ± 0.008, n=144","29.636 ± 0.005, n=144"
2018-10-12,"27.246 ± 0.028, n=144","27.345 ± 0.026, n=144","29.343 ± 0.009, n=144","29.633 ± 0.005, n=144"
2018-10-13,"27.311 ± 0.035, n=144","27.479 ± 0.031, n=144","29.374 ± 0.018, n=144","29.588 ± 0.027, n=144"
2018-10-14,"27.226 ± 0.045, n=144","27.464 ± 0.037, n=144","29.706 ± 0.024, n=144","29.878 ± 0.02, n=144"
2018-10-15,"26.855 ± 0.013, n=144","26.992 ± 0.015, n=144","29.845 ± 0.016, n=144","29.999 ± 0.018, n=144"
2018-10-16,"26.717 ± 0.029, n=144","26.945 ± 0.023, n=144","29.985 ± 0.017, n=144","30.084 ± 0.012, n=144"
2018-10-17,"26.75 ± 0.021, n=144","26.849 ± 0.018, n=144","30.098 ± 0.004, n=144","30.179 ± 0.006, n=144"
2018-10-18,"26.848 ± 0.024, n=144","26.973 ± 0.024, n=144","30.089 ± 0.005, n=144","30.205 ± 0.005, n=144"
2018-10-19,"26.959 ± 0.018, n=144","27.069 ± 0.015, n=144","29.775 ± 0.023, n=144","29.988 ± 0.019, n=144"
2018-10-20,"27.027 ± 0.048, n=144","27.174 ± 0.045, n=144","28.664 ± 0.107, n=144","28.869 ± 0.115, n=144"
2018-10-21,"27.037 ± 0.028, n=78","27.142 ± 0.029, n=81","29.369 ± 0.018, n=81","29.6 ± 0.038, n=80"
2018-10-22,"26.843 ± 0.015, n=144","26.956 ± 0.017, n=144","29.422 ± 0.003, n=144","29.758 ± 0.004, n=144"
2018-10-23,"26.96 ± 0.021, n=144","27.091 ± 0.022, n=144","29.45 ± 0.005, n=144","29.748 ± 0.004, n=144"
2018-10-24,"26.936 ± 0.02, n=144","27.055 ± 0.017, n=144","29.434 ± 0.005, n=144","29.736 ± 0.004, n=144"
2018-10-25,"26.901 ± 0.019, n=144","27.045 ± 0.017, n=144","29.426 ± 0.005, n=144","29.663 ± 0.004, n=144"
2018-10-26,"26.812 ± 0.026, n=144","26.973 ± 0.024, n=144","29.438 ± 0.009, n=144","29.737 ± 0.006, n=144"
2018-10-27,"26.939 ± 0.034, n=144","26.933 ± 0.03, n=144","29.463 ± 0.008, n=144","29.798 ± 0.006, n=144"
2018-10-28,"26.962 ± 0.029, n=144","26.883 ± 0.027, n=144","29.433 ± 0.009, n=144","29.817 ± 0.005, n=144"
