ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
12	C	C1d/C42.2	None	91	91	C1d/C42.2-C1-C3cg	332/329-1-23	0.855[0.127]/0.078[0.099]-0.050[0.027]-0.016[0.011]
19	C	noName/C17d	None	33	33	3290_C/C17d-C21-C31-C21ac-C31a-C17e	3290/1158-18-848-1156-1143-1146	0.389[0.054]/0.259[0.106]-0.133[0.031]-0.108[0.069]-0.047[0.016]-0.033[0.019]-0.032[0.018]
16	C	noName/C17d	None	23	23	3290_C/C17d-C21-C31-C21ac-C31.9	3290/1158-18-848-1156-853	0.439[0.099]/0.273[0.079]-0.118[0.038]-0.070[0.051]-0.052[0.017]-0.048[0.031]
15	C	C17d/noName	None	21	21	C17d/3290_C-C21-C21ac-C17e-C17f	1158/3290-18-1156-1146-1144	0.421[0.029]/0.328[0.042]-0.129[0.020]-0.045[0.010]-0.041[0.009]-0.035[0.005]
11	C	C1d	None	20	20	C1d-5523-C42.2-C1-5524	332-5523-329-1-5524	0.740[0.038]-0.095[0.025]-0.079[0.018]-0.051[0.016]-0.035[0.013]
14	C	noName	None	9	9	3290-C17d-C31.1-C31-C21-C31a-1373	3290-1158-850-848-18-1143-1373	0.522[0.066]-0.118[0.034]-0.100[0.017]-0.084[0.021]-0.080[0.099]-0.061[0.011]-0.036[0.006]
10	C	C1d	None	8	8	C1d-C42.2-C1	332-329-1	0.914[0.028]-0.046[0.012]-0.039[0.021]
13	C	C1d	None	8	8	C1d-5527-C42.2-C1	332-5527-329-1	0.866[0.025]-0.053[0.011]-0.049[0.017]-0.033[0.008]
17	C	C1d	None	8	8	C1d-3290-1444	332-3290-1444	0.827[0.148]-0.111[0.145]-0.063[0.023]
18	D	D1/D4	S. glynnii,S. trenchii	83	83	D1/D4-D6-D1ab	347/57-68-985	0.433[0.023]/0.342[0.019]-0.165[0.016]-0.060[0.007]
