Month,Day ,Year,Date,Timepoint,Time,Description,Stage
9,22,2018,2018-09-22,1,0 hr,Timepoint 1 - 0 hr,Acute Stress
9,22,2018,2018-09-22,2,6 hr,Timepoint 2 - 6 hr,Acute Stress
9,22,2018,2018-09-22,3,12 hr,Timepoint 3 - 12 hr ,Acute Stress
9,23,2018,2018-09-23,4,24 hr,Timepoint 4 - 24 hr ,Acute Stress
9,29,2018,2018-09-29,5,1 wk,Timepoint 5 - 1 wk ,Chronic Stress
10,6,2018,2018-10-06,6,2 wk,Timepoint 6 - 2 wk,Chronic Stress
10,20,2018,2018-10-20,7,4 wk,Timepoint 7 - 4 wk,Chronic Stress
11,3,2018,2018-11-03,8,6 wk,Timepoint 8 - 6 wk ,Chronic Stress
11,17,2018,2018-11-17,9,8 wk,Timepoint 9 - 8 wk ,Chronic Stress
12,15,2018,2018-12-15,10,12 wk,Timepoint 10 - 12 wk,Recovery
1,12,2019,2019-01-12,11,16 wk,Timepoint 11 - 16 wk,Recovery
