Well,Plug_ID
A1,BK
A2,BK
A3,1620
A4,1620
A5,NA
A6,NA
A7,1461
A8,1461
A9,1175
A10,1175
A11,1650
A12,1650
B1,1162
B2,1162
B3,1410
B4,1410
B5,1413
B6,1413
B7,1133
B8,1133
B9,1760
B10,1760
B11,1311
B12,1311
C1,1426
C2,1426
C3,1038
C4,1038
C5,1300
C6,1300
C7,1411
C8,1411
C9,2407
C10,2407
C11,1243
C12,1243
D1,1353
D2,1353
D3,1409
D4,1409
D5,1234
D6,1234
D7,2297
D8,2297
D9,2389
D10,2389
D11,2552
D12,2552
E1,2989
E2,2989
E3,2540
E4,2540
E5,1625
E6,1625
E7,1636
E8,1636
E9,1066
E10,1066
E11,1534
E12,1534
F1,2525
F2,2525
F3,1065
F4,1065
F5,1756
F6,1756
F7,2376
F8,2376
F9,1761
F10,1761
F11,2394
F12,2394
G1,1533
G2,1533
G3,1086
G4,1086
G5,2070
G6,2070
G7,2279
G8,2279
G9,1036
G10,1036
G11,1483
G12,1483
H1,2741
H2,2741
H3,1122
H4,1122
H5,1191
H6,1191
H7,2044
H8,2044
H9,1482
H10,1482
H11,2566
H12,2566
