Well,Plug_ID
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,2521
B8,2521
B9,1565
B10,1565
B11,1498
B12,1498
C1,1067
C2,1067
C3,1730
C4,1730
C5,1573
C6,1573
C7,1908
C8,1908
C9,1718
C10,1718
C11,1626
C12,1626
D1,2871
D2,2871
D3,1156
D4,1156
D5,2015
D6,2015
D7,2517
D8,2517
D9,2864
D10,2864
D11,2407
D12,2407
E1,2525
E2,2525
E3,1500
E4,1500
E5,1234
E6,1234
E7,3000
E8,3000
E9,1534
E10,1534
E11,1758
E12,1758
F1,1171
F2,1171
F3,1593
F4,1593
F5,1316
F6,1316
F7,1621
F8,1621
F9,2070
F10,2070
F11,1122
F12,1122
G1,1550
G2,1550
G3,1264
G4,1264
G5,1761
G6,1761
G7,1333
G8,1333
G9,1099
G10,1099
G11,1216
G12,1216
H1,1494
H2,1494
H3,2869
H4,2869
H5,1189
H6,1189
H7,1117
H8,1117
H9,1643
H10,1643
H11,1353
H12,1353
