NCBI_Sample_Name,host_subject_id,NCBI_Sample_Title,title,host,Sample.Date,geo_loc_name,Plug_ID,Timepoint,Treatment,env_broad_scale,lat_lon,env_medium,env_local_scale,organism,host_life_stage,host_tissue_sampled,isolation_source,samp_collect_device,samp_mat_process,size_frac,samp_size,SRA_upload,filename1,filename2,description,timepoint,accession
1754_HTAC_ITS2,HP101,1754_HTAC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-17,USA: Hawaii HIMB,1754,8 week,HTAC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP101_S1_L001_R1_001.fastq.gz,HP101_S1_L001_R2_001.fastq.gz,Sampled from: High Temperature Ambient pCO2 at 8 week,at 8 week,SAMN21362714
2202_HTHC_ITS2,HP137,2202_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii HIMB,2202,6 week,HTHC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP137_S53_L001_R1_001.fastq.gz,HP137_S53_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 6 week,at 6 week,SAMN21362715
2305_HTHC_ITS2,HP138,2305_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii Reef.18,2305,6 week,HTHC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP138_S65_L001_R1_001.fastq.gz,HP138_S65_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 6 week,at 6 week,SAMN21362716
2862_ATHC_ITS2,HP139,2862_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-11-03,USA: Hawaii HIMB,2862,6 week,ATHC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP139_S77_L001_R1_001.fastq.gz,HP139_S77_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 6 week,at 6 week,SAMN21362717
1260_ATHC_ITS2,HP140,1260_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-10-20,USA: Hawaii Reef.35.36,1260,4 week,ATHC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP140_S89_L001_R1_001.fastq.gz,HP140_S89_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 4 week,at 4 week,SAMN21362718
2561_ATHC_ITS2,HP141,2561_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Montipora capitata,Montipora capitata,2018-09-22,USA: Hawaii Reef.18,2561,12 hour,ATHC,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP141_S6_L001_R1_001.fastq.gz,HP141_S6_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 12 hour,at 12 hour,SAMN21362719
1131_HTHC_ITS2,HP106,1131_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-03,USA: Hawaii HIMB,1131,6 week,HTHC,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP106_S61_L001_R1_001.fastq.gz,HP106_S61_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 6 week,at 6 week,SAMN21362720
1732_HTHC_ITS2,HP142,1732_HTHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-11-17,USA: Hawaii Lilipuna.Fringe,1732,8 week,HTHC,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP142_S18_L001_R1_001.fastq.gz,HP142_S18_L001_R2_001.fastq.gz,Sampled from: High Temperature High pCO2 at 8 week,at 8 week,SAMN21362721
2743_ATHC_ITS2,HP143,2743_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Lilipuna.Fringe,2743,0 hour,ATHC,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP143_S30_L001_R1_001.fastq.gz,HP143_S30_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 0 hour,at 0 hour,SAMN21362722
1219_ATHC_ITS2,HP144,1219_ATHC_HoloInt,Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta,Pocillopora acuta,2018-09-22,USA: Hawaii Reef.35.36,1219,6 hour,ATHC,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome,adult,tissue biopsy,seawater in experimental tanks,sterile whirlpak,whole fragment snap frozen,0.5 - 1 cm in any single dimension tissue biopsy,3 - 4 cm in any single dimension tissue biopsy,Symbiont metagenome (ITS2 sequencing) from ,HP144_S42_L001_R1_001.fastq.gz,HP144_S42_L001_R2_001.fastq.gz,Sampled from: Ambient Temperature High pCO2 at 6 hour,at 6 hour,SAMN21362723
