biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN21362714	1754_HTAC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP101_S1_L001_R1_001.fastq.gz	HP101_S1_L001_R2_001.fastq.gz				
SAMN21362715	2202_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP137_S53_L001_R1_001.fastq.gz	HP137_S53_L001_R2_001.fastq.gz				
SAMN21362716	2305_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP138_S65_L001_R1_001.fastq.gz	HP138_S65_L001_R2_001.fastq.gz				
SAMN21362717	2862_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP139_S77_L001_R1_001.fastq.gz	HP139_S77_L001_R2_001.fastq.gz				
SAMN21362718	1260_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP140_S89_L001_R1_001.fastq.gz	HP140_S89_L001_R2_001.fastq.gz				
SAMN21362719	2561_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP141_S6_L001_R1_001.fastq.gz	HP141_S6_L001_R2_001.fastq.gz				
SAMN21362720	1131_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP106_S61_L001_R1_001.fastq.gz	HP106_S61_L001_R2_001.fastq.gz				
SAMN21362721	1732_HTHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP142_S18_L001_R1_001.fastq.gz	HP142_S18_L001_R2_001.fastq.gz				
SAMN21362722	2743_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP143_S30_L001_R1_001.fastq.gz	HP143_S30_L001_R2_001.fastq.gz				
SAMN21362723	1219_ATHC_ITS2	Symbiont metagenome (ITS2 sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's ITS2 sequencing protocol (available on github)	fastq	HP144_S42_L001_R1_001.fastq.gz	HP144_S42_L001_R2_001.fastq.gz				
