plate,Plug_ID,prot_ug.mL,Species,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,Sample.Date,vol_mL,surface.area.cm2,prot_ug,prot_ug.cm2,prot_mg.cm2
20210304_plate1,2404,532.4235147834103,Mcapitata,9,HTAC,High,Ambient,2 week,Physiology,20181006,27.5,38.031298205614,14641.646656543782,384.98939945159304,0.38498939945159305
20210304_plate1,1551,322.2185248414942,Mcapitata,8,ATAC,Ambient,Ambient,4 week,Physiology,20181020,90,39.8167131795141,28999.667235734476,728.329008599709,0.7283290085997091
20210304_plate1,2184,481.7982292476608,Mcapitata,9,HTAC,High,Ambient,4 week,Physiology,20181020,37.5,15.3668199028463,18067.43359678728,1175.7431733445878,1.1757431733445878
20210304_plate1,2388,508.76169654387513,Pacuta,7,HTAC,High,Ambient,4 week,Physiology,20181020,31,26.1598547826638,15771.612592860129,602.8937363716566,0.6028937363716566
20210304_plate1,1409,320.01742547037463,Mcapitata,5,HTHC,High,High,2 week,Physiology,20181006,46,32.903264220427,14720.801571637234,447.39638818261284,0.44739638818261285
20210304_plate1,1724,432.27349339747116,Mcapitata,9,HTAC,High,Ambient,1 week,Physiology,20180929,30,26.0032394340761,12968.204801924134,498.7149710635619,0.4987149710635619
20210304_plate1,2530,699.1567921457154,Pacuta,11,ATHC,Ambient,High,4 week,Physiology,20181020,14,17.9934830348749,9788.195090040015,543.985568056422,0.5439855680564221
20210304_plate1,2279,409.161950000716,Mcapitata,5,HTHC,High,High,2 week,Physiology,20181006,47.5,35.8744811193486,19435.19262503401,541.7553653354947,0.5417553653354947
20210304_plate1,1753,929.7219512704872,Pacuta,8,ATAC,Ambient,Ambient,2 week,Physiology,20181006,12.5,14.0512509747094,11621.52439088109,827.0811198090809,0.8270811198090808
20210304_plate1,1710,758.036200323163,Pacuta,9,HTAC,High,Ambient,1 week,Physiology,20180929,49,60.5212622628124,37143.77381583499,613.7309835762989,0.6137309835762988
20210304_plate1,2394,356.8858399366269,Mcapitata,8,ATAC,Ambient,Ambient,1 week,Physiology,20180929,30,40.1702163948978,10706.575198098806,266.53018477288305,0.26653018477288304
20210304_plate1,2741,460.8877852220252,Mcapitata,11,ATHC,Ambient,High,2 week,Physiology,20181006,32.5,23.0901939503442,14978.853019715818,648.7105760968514,0.6487105760968513
20210304_plate1,1194,683.1988217050988,Pacuta,3,ATHC,Ambient,High,4 week,Physiology,20181020,52,62.915239734082,35526.338728665134,564.6698459518077,0.5646698459518077
20210304_plate1,2164,320.56770031315443,Mcapitata,4,HTAC,High,Ambient,4 week,Physiology,20181020,48,16.8076811098534,15387.249615031413,915.4891453771532,0.9154891453771532
20210304_plate1,2389,308.461653771997,Mcapitata,8,ATAC,Ambient,Ambient,2 week,Physiology,20181006,26,9.85843435680348,8020.002998071923,813.5169041864317,0.8135169041864317
20210304_plate1,2074,1108.5612751739498,Pacuta,10,HTHC,High,High,4 week,Physiology,20181020,25,36.07584371039,27714.031879348742,768.2157651483278,0.7682157651483278
20210304_plate1,2022,909.3617820876315,Pacuta,8,ATAC,Ambient,Ambient,1 week,Physiology,20180929,20,19.8549683209462,18187.235641752628,916.0042639083852,0.9160042639083852
20210304_plate1,1092,261.6882921357068,Mcapitata,2,HTHC,High,High,4 week,Physiology,20181020,37.5,15.375769351337,9813.310955089004,638.2321905886087,0.6382321905886087
20210304_plate1,1461,386.60068144674074,Mcapitata,6,ATAC,Ambient,Ambient,1 week,Physiology,20180929,40,23.9090684872458,15464.02725786963,646.7850165772395,0.6467850165772395
20210304_plate1,1233,1155.33463681024,Pacuta,2,HTHC,High,High,4 week,Physiology,20181020,13,29.2653134089462,15019.35027853312,513.2133754611291,0.5132133754611291
20210304_plate1,1094,743.178779568106,Pacuta,2,HTHC,High,High,2 week,Physiology,20181006,12.5,13.4382137530945,9289.734744601326,691.2923782345791,0.6912923782345791
20210304_plate1,1598,474.64465629152227,Mcapitata,6,ATAC,Ambient,Ambient,2 week,Physiology,20181006,25,17.5594347830746,11866.116407288057,675.7686994985575,0.6757686994985574
20210304_plate1,1693,731.0727330269486,Pacuta,8,ATAC,Ambient,Ambient,1 week,Physiology,20180929,30,31.1581217647352,21932.181990808458,703.899360699955,0.703899360699955
20210304_plate1,1646,1084.899456934415,Pacuta,7,HTAC,High,Ambient,1 week,Physiology,20180929,17,28.7954673631831,18443.290767885053,640.4928433794415,0.6404928433794416
20210304_plate1,1576,394.854804088439,Mcapitata,9,HTAC,High,Ambient,2 week,Physiology,20181006,32.5,26.7191953133343,12832.781132874266,480.28321895120945,0.48028321895120946
20210304_plate1,2165,463.6391594359246,Mcapitata,5,HTHC,High,High,1 week,Physiology,20180929,29,25.2872835548178,13445.535623641814,531.7113478992145,0.5317113478992145
20210304_plate1,2303,335.4251210682114,Mcapitata,6,ATAC,Ambient,Ambient,4 week,Physiology,20181020,54,32.0306929925811,18112.956537683414,565.4875010627684,0.5654875010627683
20210304_plate1,2666,917.6159047293298,Pacuta,11,ATHC,Ambient,High,2 week,Physiology,20181006,37,47.8130454059792,33951.7884749852,710.094665309468,0.7100946653094681
20210304_plate1,2168,354.13446572272744,Mcapitata,5,HTHC,High,High,1 week,Physiology,20180929,55,17.3893952617507,19477.39561475001,1120.0732010268366,1.1200732010268366
20210304_plate1,2063,975.3947632212178,Pacuta,9,HTAC,High,Ambient,1 week,Physiology,20180929,34.5,32.5855587990062,33651.11933113202,1032.7003915660428,1.0327003915660427
20210304_plate1,1432,874.6944669924986,Pacuta,2,HTHC,High,High,1 week,Physiology,20180929,22.5,26.2180261978535,19680.62550733122,750.6524464813639,0.7506524464813639
20210304_plate1,1275,827.9211053562085,Pacuta,4,HTAC,High,Ambient,4 week,Physiology,20181020,13,16.7942569371174,10762.97436963071,640.8723178364145,0.6408723178364145
20210304_plate1,1226,251.78334496566885,Mcapitata,3,ATHC,Ambient,High,4 week,Physiology,20181020,42.5,11.3664164274911,10700.792161040927,941.4393911487989,0.9414393911487989
20210304_plate1,1319,1084.3491820916347,Pacuta,4,HTAC,High,Ambient,1 week,Physiology,20180929,16,28.0168653444898,17349.586913466155,619.255105813555,0.619255105813555
20210304_plate1,1717,457.58613616534586,Mcapitata,11,ATHC,Ambient,High,1 week,Physiology,20180929,27,18.5349246685639,12354.825676464337,666.570050722607,0.666570050722607
20210304_plate1,1046,525.2699418272717,Pacuta,1,ATAC,Ambient,Ambient,4 week,Physiology,20181020,40,27.4619995380646,21010.79767309087,765.0862292080433,0.7650862292080433
20210304_plate1,1165,777.2958198204591,Pacuta,2,HTHC,High,High,2 week,Physiology,20181006,12,16.4183801005068,9327.549837845509,568.1163294275048,0.5681163294275048
20210304_plate1,1490,623.2188638420912,Pacuta,7,HTAC,High,Ambient,2 week,Physiology,20181006,12,12.8207018072343,7478.626366105094,583.3242577941522,0.5833242577941522
20210330_plate1,1338,589.6520984325182,Pacuta,4,HTAC,High,Ambient,2 week,Physiology,20181006,21,17.9621599651573,12382.694067082883,689.3766724660412,0.6893766724660412
20210330_plate1,2728,446.03036446696825,Pacuta,12,ATHC,Ambient,High,2 week,Physiology,20181006,18,14.7716815782129,8028.546560405429,543.5093166540308,0.5435093166540308
20210330_plate1,1258,489.5020770465792,Pacuta,3,ATHC,Ambient,High,1 week,Physiology,20180929,19,16.9061250432515,9300.539463885005,550.1283966663636,0.5501283966663636
20210330_plate1,1228,1119.0164971867675,Pacuta,2,HTHC,High,High,4 week,Physiology,20181020,14.5,37.7762389236282,16225.73920920813,429.52235774481215,0.4295223577448122
20210330_plate1,1240,388.25150597508036,Pacuta,4,HTAC,High,Ambient,1 week,Physiology,20180929,7.5,10.3506540237935,2911.8862948131027,281.3238939413319,0.2813238939413319
20210330_plate1,2062,739.8771305114269,Pacuta,9,HTAC,High,Ambient,4 week,Physiology,20181020,13,16.2214922337108,9618.40269664855,592.9419166912403,0.5929419166912403
