"","Treatment","Date","AragSat","CO2","CO3","DIC","HCO3","pCO2","pH","TA","Temperature"
"1","ATAC",20180922,"3.812 ± 0.201","8.89 ± 0.799","235.319 ± 12.856","1856.257 ± 17.092","1612.048 ± 29.129","338.676 ± 32.064","8.086 ± 0.034","2193.963 ± 3.342","28.18 ± 0.283"
"2","ATHC",20180922,"1.745 ± 0.119","28.053 ± 2.599","107.849 ± 7.434","2074.68 ± 21.572","1938.778 ± 25.134","1064.262 ± 101.974","7.668 ± 0.037","2203.992 ± 14.46","28.013 ± 0.143"
"3","HTAC",20180922,"3.557 ± 0.055","10.126 ± 0.252","218.35 ± 3.331","1878.581 ± 5.001","1650.105 ± 8.074","394.761 ± 9.66","8.028 ± 0.009","2189.593 ± 0.51","29.2 ± 0.125"
"4","HTHC",20180922,"2.031 ± 0.118","23.672 ± 2.332","124.784 ± 7.37","2043.024 ± 24.333","1894.568 ± 29.362","924.167 ± 95.016","7.722 ± 0.036","2201.536 ± 10.912","29.2 ± 0.199"
"5","ATAC",20180923,"3.058 ± 0.038","12.306 ± 0.245","189.604 ± 2.501","1929.57 ± 3.983","1727.66 ± 6.18","457.394 ± 9.545","7.979 ± 0.007","2195.61 ± 1.012","27.217 ± 0.073"
"6","ATHC",20180923,"1.648 ± 0.008","28.483 ± 0.567","102.291 ± 0.533","2061.511 ± 12.632","1930.736 ± 12.56","1056.698 ± 23.558","7.663 ± 0.007","2182.881 ± 11.102","27.11 ± 0.107"
"7","HTAC",20180923,"3.136 ± 0.017","12.43 ± 0.246","192.372 ± 0.8","1916.111 ± 15.852","1711.309 ± 16.286","487.514 ± 8.054","7.952 ± 0.003","2186.367 ± 14.009","29.44 ± 0.19"
"8","HTHC",20180923,"2.009 ± 0.14","24.025 ± 2.502","123.03 ± 8.546","2032.237 ± 25.153","1885.181 ± 31.103","947.141 ± 97.385","7.711 ± 0.037","2188.03 ± 10.631","29.68 ± 0.202"
"9","ATAC",20180926,"2.974 ± 0.084","13.391 ± 0.579","182.997 ± 5.118","1944.924 ± 16.235","1748.536 ± 18.488","513.434 ± 20.896","7.938 ± 0.014","2199.461 ± 13.933","28.537 ± 0.104"
"10","ATHC",20180926,"1.467 ± 0.168","34.549 ± 4.313","90.259 ± 10.406","2070.016 ± 17.861","1945.208 ± 23.279","1327.181 ± 167.503","7.579 ± 0.054","2167.463 ± 9.734","28.593 ± 0.088"
"11","HTAC",20180926,"2.959 ± 0.124","13.249 ± 0.813","181.903 ± 7.641","1922.247 ± 12.663","1727.095 ± 19.423","511.264 ± 31.452","7.936 ± 0.023","2176.257 ± 2","28.793 ± 0.107"
"12","HTHC",20180926,"1.824 ± 0.124","26.342 ± 2.518","112.16 ± 7.677","2044.424 ± 14.201","1905.922 ± 19.358","1014.869 ± 98.899","7.683 ± 0.036","2182.001 ± 0.783","28.71 ± 0.089"
"13","ATAC",20180929,"2.818 ± 0.051","13.748 ± 0.292","173.123 ± 3.08","1912.368 ± 1.207","1725.497 ± 3.753","527.798 ± 10.373","7.92 ± 0.008","2153.459 ± 3.899","28.62 ± 0.07"
"14","ATHC",20180929,"1.963 ± 0.081","23.445 ± 1.569","120.581 ± 5.026","2019.772 ± 23.723","1875.746 ± 26.519","900.741 ± 61.245","7.726 ± 0.024","2172.684 ± 16.328","28.65 ± 0.066"
"15","HTAC",20180929,"2.828 ± 0.026","13.725 ± 0.163","173.455 ± 1.495","1909.497 ± 4.751","1722.317 ± 5.686","530.192 ± 4.656","7.918 ± 0.003","2151.102 ± 3.465","28.887 ± 0.132"
"16","HTHC",20180929,"1.734 ± 0.115","27.485 ± 2.373","106.364 ± 7.048","2029.656 ± 13.619","1895.807 ± 18.3","1063.821 ± 93.671","7.661 ± 0.034","2157.927 ± 0.849","28.943 ± 0.067"
"17","ATAC",20181003,"3.144 ± 0.097","11.908 ± 0.564","193.829 ± 5.951","1907.078 ± 10.523","1701.341 ± 15.889","453.252 ± 21.023","7.98 ± 0.016","2180.111 ± 1.422","28.223 ± 0.035"
"18","ATHC",20181003,"1.936 ± 0.374","26.242 ± 5.2","119.341 ± 23.024","2048.856 ± 28.841","1903.274 ± 46.648","1000.626 ± 196.85","7.704 ± 0.088","2196.874 ± 10.16","28.303 ± 0.107"
"19","HTAC",20181003,"3.197 ± 0.039","12.193 ± 0.112","196.212 ± 2.357","1924.181 ± 18.62","1715.775 ± 16.171","476.216 ± 5.609","7.963 ± 0.001","2199.635 ± 21.058","29.273 ± 0.116"
"20","HTHC",20181003,"1.641 ± 0.102","30.741 ± 2.59","100.54 ± 6.206","2066.703 ± 21.956","1935.422 ± 25.571","1207.633 ± 102.406","7.615 ± 0.033","2182.753 ± 10.076","29.523 ± 0.064"
"21","ATAC",20181006,"3.352 ± 0.027","11.004 ± 0.285","206.738 ± 2.015","1904.442 ± 14.844","1686.699 ± 15.174","420.773 ± 14.089","8.008 ± 0.012","2197.118 ± 13.78","28.36 ± 0.485"
"22","ATHC",20181006,"1.786 ± 0.044","26.868 ± 1.121","110.41 ± 2.783","2071.305 ± 20.423","1934.027 ± 21.043","1014.606 ± 43.582","7.684 ± 0.015","2205.511 ± 17.297","27.853 ± 0.064"
"23","HTAC",20181006,"3.333 ± 0.089","11.065 ± 0.389","205.027 ± 4.994","1892.275 ± 11.636","1676.183 ± 16.148","427.278 ± 10.249","7.999 ± 0.007","2182.961 ± 4.239","28.817 ± 0.469"
"24","HTHC",20181006,"1.667 ± 0.086","30.438 ± 1.722","102.146 ± 5.232","2074.522 ± 7.496","1941.938 ± 10.98","1200.014 ± 64.199","7.618 ± 0.022","2193.036 ± 2.141","29.677 ± 0.159"
"25","ATAC",20181010,"3.179 ± 0.14","11.828 ± 0.954","196.586 ± 8.686","1915.501 ± 30.252","1707.088 ± 36.451","446.633 ± 35.738","7.988 ± 0.027","2192.645 ± 20.253","27.853 ± 0.107"
"26","ATHC",20181010,"1.637 ± 0.107","29.551 ± 2.348","101.234 ± 6.587","2065.101 ± 12.304","1934.316 ± 16.148","1115.321 ± 87.74","7.645 ± 0.031","2183.632 ± 5.787","27.84 ± 0.04"
"27","HTAC",20181010,"3.176 ± 0.088","12.004 ± 0.438","194.899 ± 5.164","1897.654 ± 6.45","1690.751 ± 11.178","470.892 ± 15.18","7.962 ± 0.011","2172.78 ± 1.568","29.447 ± 0.262"
"28","HTHC",20181010,"1.559 ± 0.336","37.8 ± 12.512","95.639 ± 20.603","2078.652 ± 40.97","1945.212 ± 49.058","1487.053 ± 493.609","7.567 ± 0.121","2180.63 ± 2.467","29.533 ± 0.093"
"29","ATAC",20181013,"3.505 ± 0.107","9.826 ± 0.402","216.543 ± 6.399","1863.079 ± 12.249","1636.71 ± 15.54","371.639 ± 13.05","8.048 ± 0.012","2172.77 ± 11.616","27.95 ± 0.245"
"30","ATHC",20181013,"1.826 ± 0.137","25.732 ± 2.521","112.717 ± 8.478","2035.895 ± 16.294","1897.446 ± 22.227","976.151 ± 97.347","7.697 ± 0.039","2175.275 ± 2.653","28.047 ± 0.087"
"31","HTAC",20181013,"3.52 ± 0.108","10.046 ± 0.554","215.925 ± 6.642","1857.175 ± 11.189","1631.205 ± 17.239","392.349 ± 22.293","8.027 ± 0.019","2165.805 ± 1.466","29.277 ± 0.113"
"32","HTHC",20181013,"1.548 ± 0.2","33.915 ± 6.096","94.821 ± 12.255","2067.677 ± 23.73","1938.94 ± 29.899","1332.202 ± 241.796","7.584 ± 0.068","2172.317 ± 3.28","29.513 ± 0.097"
"33","ATAC",20181017,"3.048 ± 0.089","12.05 ± 0.792","188.931 ± 5.492","1912.836 ± 30.118","1711.855 ± 33.413","443.604 ± 29.366","7.99 ± 0.02","2178.555 ± 23.46","26.88 ± 0.015"
"34","ATHC",20181017,"1.62 ± 0.198","28.899 ± 4.498","100.393 ± 12.319","2028.703 ± 24.164","1899.41 ± 31.778","1063.903 ± 164.134","7.664 ± 0.06","2147.35 ± 4.768","26.907 ± 0.054"
"35","HTAC",20181017,"3.059 ± 0.021","12.514 ± 0.152","186.647 ± 1.403","1887.771 ± 1.598","1688.611 ± 2.849","495.464 ± 7.09","7.941 ± 0.005","2150.206 ± 0.706","29.923 ± 0.122"
"36","HTHC",20181017,"1.65 ± 0.111","30.132 ± 2.67","100.606 ± 6.785","2035.761 ± 14.603","1905.024 ± 18.728","1202.395 ± 106.082","7.612 ± 0.033","2152.902 ± 1.904","30.247 ± 0.1"
"37","ATAC",20181020,"3.125 ± 0.165","11.261 ± 1.005","193.656 ± 10.135","1867.697 ± 21.819","1662.779 ± 30.057","418.491 ± 36.336","8.004 ± 0.029","2143.167 ± 10.511","27.237 ± 0.111"
"38","ATHC",20181020,"2.235 ± 0.151","18.681 ± 1.868","137.849 ± 9.283","1951.463 ± 16.744","1794.932 ± 24.158","704.852 ± 69.959","7.814 ± 0.036","2135.988 ± 1.071","27.893 ± 0.032"
"39","HTAC",20181020,"3.087 ± 0.015","12.318 ± 0.035","189.046 ± 0.68","1891.125 ± 2.889","1689.76 ± 3.087","483.915 ± 2.866","7.951 ± 0.002","2157.456 ± 2.672","29.543 ± 0.243"
"40","HTHC",20181020,"2.102 ± 0.264","21.99 ± 3.534","128.528 ± 16.234","1972.316 ± 30.932","1821.798 ± 43.481","867.079 ± 142.23","7.743 ± 0.066","2139.383 ± 5.401","29.677 ± 0.164"
"41","ATAC",20181027,"3.702 ± 0.255","8.768 ± 1.096","228.831 ± 15.77","1830.387 ± 25.587","1592.787 ± 39.79","325.174 ± 40.739","8.099 ± 0.042","2159.456 ± 7.556","27.217 ± 0.135"
"42","ATHC",20181027,"1.495 ± 0.126","32.321 ± 3.807","92.486 ± 7.803","2069.655 ± 41.843","1944.849 ± 44.752","1194.032 ± 141.1","7.62 ± 0.045","2172.607 ± 29.612","27.05 ± 0.075"
"43","HTAC",20181027,"3.794 ± 0.136","8.559 ± 0.539","231.919 ± 8.455","1804.23 ± 13.104","1563.751 ± 21.019","334.092 ± 21.065","8.08 ± 0.021","2138.877 ± 0.425","29.357 ± 0.046"
"44","HTHC",20181027,"2.145 ± 0.932","30.848 ± 11.685","130.922 ± 56.925","1980.29 ± 96.155","1818.52 ± 141.376","1212.261 ± 458.373","7.688 ± 0.207","2142.478 ± 4.794","29.703 ± 0.074"
"45","ATAC",20181103,"3.72 ± 0.08","8.228 ± 0.437","230.618 ± 4.967","1797.068 ± 29.967","1558.223 ± 30.387","305.337 ± 17.885","8.111 ± 0.016","2131.812 ± 28.252","27.143 ± 0.299"
"46","ATHC",20181103,"1.599 ± 0.305","31.677 ± 6.407","99.16 ± 18.964","2059.928 ± 33.281","1929.091 ± 45.879","1173.002 ± 238.925","7.639 ± 0.089","2173.575 ± 1.983","27.06 ± 0.122"
"47","HTAC",20181103,"4.054 ± 0.198","7.992 ± 0.658","248.08 ± 11.912","1810.774 ± 18.147","1554.702 ± 29.387","313.192 ± 24.789","8.106 ± 0.027","2169.243 ± 1.371","29.49 ± 0.16"
"48","HTHC",20181103,"1.501 ± 0.056","33.841 ± 1.545","91.959 ± 3.336","2070.407 ± 9.193","1944.606 ± 10.454","1335.328 ± 59.48","7.572 ± 0.017","2171.018 ± 5.553","29.7 ± 0.182"
"49","ATAC",20181107,"3.945 ± 0.023","7.736 ± 0.118","243.512 ± 1.145","1803.187 ± 13.363","1551.94 ± 12.208","289.523 ± 5.924","8.133 ± 0.005","2155.542 ± 13.881","27.577 ± 0.229"
"50","ATHC",20181107,"1.723 ± 0.146","27.239 ± 2.837","106.407 ± 9.002","2040.916 ± 18.591","1907.27 ± 24.732","1019.447 ± 106.392","7.68 ± 0.041","2169.395 ± 2.704","27.573 ± 0.09"
"51","HTAC",20181107,"4.426 ± 0.167","6.736 ± 0.532","270.736 ± 10.301","1770.362 ± 21.484","1492.89 ± 31.211","264.106 ± 20.556","8.162 ± 0.024","2164.481 ± 5.1","29.513 ± 0.032"
"52","HTHC",20181107,"1.499 ± 0.273","36.488 ± 9.416","91.71 ± 16.647","2060.099 ± 21.777","1931.901 ± 29.007","1430.197 ± 371.925","7.565 ± 0.098","2157.666 ± 11.861","29.443 ± 0.122"
"53","ATAC",20181110,"2.75 ± 0.021","12.192 ± 0.089","169.696 ± 1.256","1846.741 ± 2.227","1664.854 ± 2.516","436.76 ± 2.616","7.983 ± 0.002","2085.288 ± 2.701","26.077 ± 0.104"
"54","ATHC",20181110,"1.866 ± 0.475","24.346 ± 6.42","115.182 ± 29.386","1941.83 ± 45.779","1802.302 ± 68.757","871.855 ± 231.268","7.756 ± 0.123","2087.173 ± 6.043","26.003 ± 0.139"
"55","HTAC",20181110,"2.769 ± 0.042","12.923 ± 0.034","167.986 ± 2.414","1829.935 ± 14.091","1649.026 ± 11.865","503.851 ± 2.496","7.925 ± 0.005","2065.651 ± 16.703","29.527 ± 0.23"
"56","HTHC",20181110,"1.394 ± 0.172","34.638 ± 4.912","84.476 ± 10.308","2005.04 ± 26.037","1885.927 ± 31.331","1343.852 ± 182.599","7.566 ± 0.055","2093.988 ± 8.591","29.443 ± 0.275"
"57","ATAC",20181114,"3.59 ± 0.102","8.296 ± 0.404","221.549 ± 6.117","1783.527 ± 14.489","1553.683 ± 19.963","301.854 ± 13.477","8.115 ± 0.015","2103.584 ± 5.936","26.62 ± 0.169"
