Site.Name,Plug_ID,Species,ANALYSIS,Timepoint,Treatment,Tank,Temperature,CO2,Pgross_umol.cm2.hr,Pnet_umol.cm2.hr,PR,Rdark_umol.cm2.hr,Pnet.cell,chla.ug.cm2,chla.ug.cells,AFDW.mg.cm2_Sym,AFDW.mg.cm2_Host,AFDW.mg.cells_Sym,Ratio_S.H,prot_mg.cm2,cre.umol.mgprot,haemo.cells.cm2
Reef.11.13,1036,Mcapitata,Physiology,4 week,ATAC,1,Ambient,Ambient,0.952865434995511,0.782755024070014,4.60145278476126,-0.170110410925498,2.68882373469189e-6,2.1059566719331007,7.234123200543231e-6,2.1616125919961595,2.4338156591364233,7.425305568130205e-6,0.8881578947368397,0.5300320867697814,0.2477686394511573,291114.2945111798
Reef.35.36,1038,Mcapitata,Physiology,4 week,ATAC,1,Ambient,Ambient,1.55417538768285,1.24734416137112,4.06524517196272,-0.306831226311721,2.2539622951458e-6,2.4973208995637406,4.512681680398371e-6,2.587254431794242,3.7337632584325373,4.675192394748696e-6,0.692934782608684,0.7521152915002659,0.17118141866400693,553400.6332445948
Lilipuna.Fringe,1042,Mcapitata,Physiology,6 week,ATAC,1,Ambient,Ambient,1.11122715994134,0.906945801259189,4.43968949056344,-0.204281358682156,2.21817978838198e-6,2.145288067241729,5.246878734268901e-6,1.536730668536002,2.6986489788925363,3.758488003621494e-6,0.569444444444435,0.4946359300221391,0.2227974707653634,408869.38233015087
Reef.18,1044,Mcapitata,Physiology,8 week,ATAC,1,Ambient,Ambient,1.49245908872507,1.26966936234197,5.69895830905025,-0.222789726383095,6.7666994854079e-6,2.3909678611159406,1.2742656869171572e-5,1.1610390697064426,1.2590823689260486,6.187754640108882e-6,0.9221311475410195,0.44668916019953686,0.15195188934619466,187634.95601144465
Reef.35.36,1045,Pacuta,Physiology,12 week,ATAC,1,Ambient,Ambient,NA,NA,NA,NA,NA,2.17395991643916,4.048705246717972e-6,1.107508840532971,0.8072508882106667,2.062584880036294e-6,1.3719512195122496,0.5891518754688286,0.20040012265269438,536951.8855939072
Reef.35.36,1046,Pacuta,Physiology,4 week,ATAC,1,Ambient,Ambient,1.85205532956023,1.48568229489729,4.05510819393166,-0.366373034662939,3.74013617203473e-6,1.7785184189629522,4.477337519239474e-6,1.274488405386769,2.8839851916180543,3.2084653689452375e-6,0.4419191919191928,0.7650862292080433,0.18707677904396885,397226.79188703507
Reef.35.36,1048,Pacuta,Physiology,6 week,ATAC,1,Ambient,Ambient,1.97281247842287,1.64421950915117,5.00381828861243,-0.328592969271695,2.81022373391635e-6,1.584255730937304,2.7077364228157543e-6,0.3754449366219735,1.2657857863255357,6.416930737890457e-7,0.2966101694915195,0.5315818663750596,0.14989174404454095,585084.9135787924
Lilipuna.Fringe,1052,Mcapitata,Physiology,12 week,ATAC,1,Ambient,Ambient,NA,NA,NA,NA,NA,2.2063963383537817,4.759501917609779e-6,1.529867555264322,1.8358410663170879,3.30013580805807e-6,0.833333333333378,0.5000193753436805,0.20254119205387575,463577.1508338489
Reef.11.13,1054,Pacuta,Physiology,1 week,ATAC,1,Ambient,Ambient,1.9737697035500399,1.53378693885577,3.48601595774228,-0.439982764694265,3.95427603890906e-6,1.2945452247686555,3.3374838605703934e-6,1.3274682192051297,1.7257086849666725,3.4223630602082573e-6,0.7692307692307675,0.7224159082109539,0.18229393373454497,387880.59473863966
Reef.11.13,1061,Mcapitata,Physiology,Day 2,ATAC,1,Ambient,Ambient,1.23018467608243,0.862800616501446,2.34849769335528,-0.367384059580986,3.66240715314852e-6,1.6616816068564253,7.053488947034857e-6,NA,NA,NA,NA,0.6242946082248436,0.16220142360487658,235582.9319836054
Lilipuna.Fringe,1063,Mcapitata,Physiology,16 week,ATAC,1,Ambient,Ambient,NA,NA,NA,NA,NA,4.323485184958608,1.5344997881394297e-5,2.0920953437553975,1.6426822699117167,7.425305568130169e-6,1.2735849056603221,0.6059372629913606,0.20580309507165384,281752.0874473892
Reef.18,1065,Mcapitata,Physiology,6 week,ATAC,1,Ambient,Ambient,1.53623603831979,1.23557495393661,4.10952736524401,-0.300661084383178,3.11416077466637e-6,2.7768481465609685,6.998807750113173e-6,1.9276724830518461,1.483944100160598,4.858533272974187e-6,1.2990196078431973,0.5008013364288347,0.21353738192542734,396760.1691182424
Lilipuna.Fringe,1066,Mcapitata,Physiology,Day 1,ATAC,1,Ambient,Ambient,2.26091124385098,1.8540056908964,4.55635386991964,-0.406905552954582,5.5543965490693e-6,1.9208052080133746,5.7545205359891365e-6,NA,NA,NA,NA,0.4016622289813101,0.1964807203097712,333790.6600559572
Reef.11.13,1067,Mcapitata,Physiology,1 week,ATAC,1,Ambient,Ambient,1.67376512408608,1.27355844087662,3.18225180714955,-0.400206683209457,4.01410349197633e-6,2.4565796985832984,7.742844635581711e-6,1.5269292992277215,2.1987781908878246,4.812698053417954e-6,0.6944444444444743,0.7015295650792405,0.18477131945056363,317270.9532739757
Lilipuna.Fringe,1075,Pacuta,Physiology,16 week,ATAC,1,Ambient,Ambient,NA,NA,NA,NA,NA,1.9296190630163368,5.5725139882299685e-6,1.026361150368793,1.4982756586826755,2.9640108646446754e-6,0.685028248587578,0.5653767683596495,0.14944086229834452,346274.42247646174
Reef.35.36,1077,Pacuta,Physiology,Day 2,ATAC,1,Ambient,Ambient,1.62756877039492,1.32928715820127,4.45648375179856,-0.298281612193648,3.8801010550691e-6,1.8257188190901694,5.329152146672703e-6,NA,NA,NA,NA,0.5271034164508506,0.17026561231079232,342590.86039231793
Lilipuna.Fringe,1080,Pacuta,Physiology,2 week,ATAC,1,Ambient,Ambient,1.99161484179642,1.48115773501583,2.9016301572474,-0.510457106780593,2.86628160104224e-6,2.7347614348641813,5.292209057492077e-6,1.6421916949630075,2.4001263234074126,3.1779085559077715e-6,0.6842105263158066,0.8498261171185691,0.1656196005675438,516752.34389930853
Reef.35.36,1084,Pacuta,Physiology,8 week,ATAC,1,Ambient,Ambient,1.58833762943045,1.32384054321832,5.00512335382258,-0.264497086212124,2.55955853797628e-6,1.9107885509655598,3.6943838678134898e-6,0.529448198926615,1.548833537158445,1.0236532367587169e-6,0.34183673469387993,0.3657097723522318,0.1551526476460714,517214.40416976874
Reef.11.13,1085,Mcapitata,Physiology,4 week,HTHC,2,High,High,1.57129797330684,1.35213546072202,6.16955630219256,-0.219162512584818,4.42503204334777e-6,2.646097263964858,8.659683525577184e-6,1.596643474574132,2.1848805441540358,5.2252150294251425e-6,0.730769230769244,0.6192314683985255,0.16800395765772871,305565.1232691544
Reef.11.13,1086,Pacuta,Physiology,8 week,ATAC,1,Ambient,Ambient,1.26534885945135,1.03296426034851,4.44506333180631,-0.232384599102833,4.22905318613097e-6,1.0686304516327816,4.375073937528293e-6,0.42542701193962207,1.244933782307575,1.7417383431416354e-6,0.3417266187050224,0.44000273973283555,0.11891095689456217,244254.26104604453
Reef.35.36,1088,Pacuta,Physiology,6 week,ATAC,1,Ambient,Ambient,2.09100908547939,1.73090982283504,4.80675747604791,-0.360099262644344,3.27756002702633e-6,2.2250489841762517,4.213236010864644e-6,1.065064186249491,1.3555362370448112,2.016749660479901e-6,0.7857142857142831,0.8261351887512358,0.14600130850314078,528109.2676599488
