Plug_ID,Squares_Counted,rep,count,count.mean,Species,Tank,Group,Treatment,Temperature,CO2,Timepoint,ANALYSIS,Sample.Date,vol_mL,surface.area.cm2,cells.mL,cells,haemo.cells.cm2
1036,9,Count1,95,163.62962962962962,Montipora capitata,1,ATAC 4 week,ATAC,Ambient,Ambient,4 week,Physiology,20181020,34.5,21.5464140856937,181810.69958847735,6272469.135802468,291114.2945111798
1038,6,Count1,218,163.62962962962962,Montipora capitata,1,ATAC 4 week,ATAC,Ambient,Ambient,4 week,Physiology,20181020,55,27.1040215984355,272716.049382716,14999382.71604938,553400.6332445948
1042,6,Count1,137,163.62962962962962,Montipora capitata,1,ATAC 6 week,ATAC,Ambient,Ambient,6 week,Physiology,20181103,27.5,18.3425115260132,272716.049382716,7499691.35802469,408869.38233015087
1044,9,Count1,115,163.62962962962962,Montipora capitata,1,ATAC 8 week,ATAC,Ambient,Ambient,8 week,Physiology,20181117,28,27.1308699439078,181810.69958847735,5090699.588477366,187634.95601144465
1045,3,Count1,209,163.62962962962962,Pocillopora acuta,1,ATAC 12 week,ATAC,Ambient,Ambient,12 week,Physiology,20181215,20,20.3158649182187,545432.098765432,10908641.97530864,536951.8855939072
1046,6,Count1,141,163.62962962962962,Pocillopora acuta,1,ATAC 4 week,ATAC,Ambient,Ambient,4 week,Physiology,20181020,40,27.4619995380646,272716.049382716,10908641.97530864,397226.79188703507
1048,3,Count1,140,163.62962962962962,Pocillopora acuta,1,ATAC 6 week,ATAC,Ambient,Ambient,6 week,Physiology,20181103,18.5,17.2462040858991,545432.098765432,10090493.827160493,585084.9135787924
1052,6,Count1,120,163.62962962962962,Montipora capitata,1,ATAC 12 week,ATAC,Ambient,Ambient,12 week,Physiology,20181215,67.5,39.7093197976254,272716.049382716,18408333.333333332,463577.1508338489
1054,4,Count1,112,163.62962962962962,Pocillopora acuta,1,ATAC 1 week,ATAC,Ambient,Ambient,1 week,Physiology,20180929,22,23.2020620564783,409074.07407407404,8999629.629629629,387880.59473863966
1061,9,Count1,256,163.62962962962962,Montipora capitata,1,ATAC Day 2,ATAC,Ambient,Ambient,Day 2,Physiology,20180923,43,33.1851718478849,181810.69958847735,7817860.082304526,235582.9319836054
