Well,480
A1,0.723
B1,0.695
C1,0.635
D1,1.135
E1,1.948
F1,0.045
G1,0.045
H1,0.046
A2,0.73
B2,0.643
C2,0.625
D2,1.155
E2,2.055
F2,0.045
G2,0.045
H2,0.044
A3,0.675
B3,0.672
C3,0.7
D3,1.109
E3,1.075
F3,0.045
G3,0.045
H3,0.045
A4,0.655
B4,0.655
C4,0.722
D4,1.134
E4,1.058
F4,0.045
G4,0.045
H4,0.045
A5,1.003
B5,0.73
C5,0.735
D5,0.599
E5,0.549
F5,0.045
G5,0.045
H5,0.045
A6,0.996
B6,0.74
C6,0.762
D6,0.605
E6,0.555
F6,0.045
G6,0.045
H6,0.044
A7,0.686
B7,0.81
C7,0.701
D7,0.697
E7,0.696
F7,0.045
G7,0.045
H7,0.044
A8,0.708
B8,0.807
C8,0.713
D8,0.705
E8,0.712
F8,0.045
G8,0.044
H8,0.044
A9,0.753
B9,0.6
C9,0.676
D9,0.715
E9,1.049
F9,0.045
G9,0.045
H9,0.045
A10,0.778
B10,0.574
C10,0.689
D10,0.745
E10,1.073
F10,0.045
G10,0.045
H10,0.045
A11,0.68
B11,0.643
C11,0.582
D11,0.624
E11,0.687
F11,0.046
G11,0.045
H11,0.045
A12,0.68
B12,0.604
C12,0.6
D12,0.564
E12,0.685
F12,0.046
G12,0.045
H12,0.045
