Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME ,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link
SITE 5,Reef.35.36,4,M35,Mcapitata,20180906,1037,1,ATAC,Ambient,Ambient,TP1,Molecular,7:11,NA,20180922,Alive,combined E1/E2 Hard DNA 402,In Freezer at URI,20181002,20190826,ES,"401, 402",18.9,14.4,8.3,YES,10.15,11,NA,90,90,95,95,1.701,0.9135,1.368,1.045,Batch3,,
SITE 1,Lilipuna.Fringe,7,P67,Pacuta,20180908,1043,1,ATAC,Ambient,Ambient,TP1,Molecular,7:11,NA,20180922,Alive,,In Freezer at URI,20181002,20190814,MS,"347, 348",43.8,55.1,8.1,YES,25.9,37.7,NA,90,90,95,95,3.942,2.331,5.2345,3.5815,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-14-Soft-and-Hard-Homogenization-Extractions-%23343-350.md,
SITE 2,HIMB,6,M56,Mcapitata,20180904,1105,1,ATAC,Ambient,Ambient,TP1,Bleaching,8:52,NA,20181119,Alive,,In Freezer at URI,20181127,"Airbrush, filtered",Maggie,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,6,M57,Mcapitata,20180905,1600,6,ATAC,Ambient,Ambient,TP1,Molecular,7:25,NA,20180922,Alive,,In Freezer at URI,20181002,20190718,ES,"29, 30",38.4,14.8,9,YES,26.6,15.2,9,90,90,90,90,3.456,2.394,1.332,1.368,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 2,HIMB,2,M14,Mcapitata,20180904,1652,8,ATAC,Ambient,Ambient,TP1,Molecular,7:14,NA,20180922,Alive,combined E1/E2 Hard DNA 396; written as molecular 9:27 11 20181215 but physical bag says 20180922,In Freezer at URI,20181002,20190826,ES,"395, 396",23.4,29.6,9.1,YES,11.85,18.8,NA,90,90,95,95,2.106,1.0665,2.812,1.786,Batch3,,
SITE 6,Reef.42.43,2,P14,Pacuta,20180905,1775,8,ATAC,Ambient,Ambient,TP1,Molecular,7:12,NA,20180922,Alive,,In Freezer at URI,20181002,20190718,ES,"3, 4",46.2,57.7,6.8,YES,37.2,46.2,6.9,90,90,90,90,4.158,3.348,5.193,4.158,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,
SITE 5,Reef.35.36,4,M31,Mcapitata,20180906,1556,8,ATAC,Ambient,Ambient,TP1,Bleaching,8:50,NA,20181119,Alive,,In Freezer at URI,20181127,"Airbrush, filtered",Maggie,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,8,P73,Pacuta,20180910,2363,6,ATAC,Ambient,Ambient,TP1,Molecular,7:25,NA,20180922,Alive,,In Freezer at URI,20181002,20190720,ES,"33, 34",57.2,69.4,7.4,YES,40.2,48,7.5,90,90,90,90,5.148,3.618,6.246,4.32,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,
SITE 3,Reef.18,8,M74,Mcapitata,20180910,2368,6,ATAC,Ambient,Ambient,TP1,Bleaching,8:49,NA,20181119,Alive,,In Freezer at URI,20181127,"Airbrush, filtered",Maggie,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,P50,Pacuta,20180907,1079,1,ATAC,Ambient,Ambient,TP2,Molecular Melted,9:28,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
