Date,Calib.Date,Time,Timepoint,Sample.ID,Treatment,Type,TA.Run,Temperature,pH.MV,Salinity,Period1,Period2,Notes
20180903,20180903,14:23,9/3/18,Tank1,Acclimation,Tank,Yes,27.49,-56.7,34.39,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank2,Acclimation,Tank,Yes,27.48,-56.8,34.4,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank3,Acclimation,Tank,Yes,27.44,-56.8,34.49,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank4,Acclimation,Tank,Yes,27.57,-56.5,34.47,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank5,Acclimation,Tank,Yes,27.44,-56.7,34.43,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank6,Acclimation,Tank,Yes,27.46,-57,34.41,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank7,Acclimation,Tank,Yes,27.59,-56.8,34.47,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank8,Acclimation,Tank,Yes,27.54,-56.7,34.41,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank9,Acclimation,Tank,Yes,27.49,-56.7,34.42,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank10,Acclimation,Tank,Yes,27.46,-60.7,34.38,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank11,Acclimation,Tank,Yes,27.45,-56.8,34.39,Empty,Testing,NA
20180903,20180903,14:23,9/3/18,Tank12,Acclimation,Tank,Yes,27.51,-56.7,34.4,Empty,Testing,NA
20180909,20180909,12:21,9/9/18,Tank1,Acclimation,Tank,Yes,28.05,-56.9,34.11,Empty,Testing,NA
20180909,20180909,12:21,9/9/18,Tank2,Acclimation,Tank,Yes,NA,NA,NA,NA,Testing,no water in tank
20180909,20180909,12:21,9/9/18,Tank3,Acclimation,Tank,Yes,28.03,-55.8,34.13,Acclimation,Acclimation,Site6 Reef 42.43
20180909,20180909,12:21,9/9/18,Tank4,Acclimation,Tank,Yes,28.06,-57,34.19,Acclimation,Acclimation,Site2 HIMB
