biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN20284087	1754_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW176_S142_L001_R1_001.fastq.gz	HPW176_S142_L001_R2_001.fastq.gz				
SAMN20284088	2202_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW201_S293_L001_R1_001.fastq.gz	HPW201_S293_L001_R2_001.fastq.gz				
SAMN20284089	2305_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW316_S316_L001_R1_001.fastq.gz	HPW316_S316_L001_R2_001.fastq.gz				
SAMN20284090	2862_ATHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW224_S279_L001_R1_001.fastq.gz	HPW224_S279_L001_R2_001.fastq.gz				
SAMN20284091	1260_ATHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW147_S174_L001_R1_001.fastq.gz	HPW147_S174_L001_R2_001.fastq.gz				
SAMN20284092	2561_ATHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW241_S198_L001_R1_001.fastq.gz	HPW241_S198_L001_R2_001.fastq.gz				
SAMN20284093	1131_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW302_S294_L001_R1_001.fastq.gz	HPW302_S294_L001_R2_001.fastq.gz				
SAMN20284094	1732_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW137_S149_L001_R1_001.fastq.gz	HPW137_S149_L001_R2_001.fastq.gz				
SAMN20284095	2743_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW301_S289_L001_R1_001.fastq.gz	HPW301_S289_L001_R2_001.fastq.gz				
SAMN20284096	1219_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW183_S131_L001_R1_001.fastq.gz	HPW183_S131_L001_R2_001.fastq.gz				
SAMN20284097	2550_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW141_S102_L001_R1_001.fastq.gz	HPW141_S102_L001_R2_001.fastq.gz				
SAMN20284098	1765_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW135_S125_L001_R1_001.fastq.gz	HPW135_S125_L001_R2_001.fastq.gz				
SAMN20284099	1536_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW150_S115_L001_R1_001.fastq.gz	HPW150_S115_L001_R2_001.fastq.gz				
SAMN20284100	2993_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW235_S221_L001_R1_001.fastq.gz	HPW235_S221_L001_R2_001.fastq.gz				
SAMN20284101	1238_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW165_S105_L001_R1_001.fastq.gz	HPW165_S105_L001_R2_001.fastq.gz				
SAMN20284102	1559_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW155_S175_L001_R1_001.fastq.gz	HPW155_S175_L001_R2_001.fastq.gz				
SAMN20284103	2026_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW251_S223_L001_R1_001.fastq.gz	HPW251_S223_L001_R2_001.fastq.gz				
SAMN20284104	1060_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW275_S226_L001_R1_001.fastq.gz	HPW275_S226_L001_R2_001.fastq.gz				
SAMN20284105	1478_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW174_S118_L001_R1_001.fastq.gz	HPW174_S118_L001_R2_001.fastq.gz				
SAMN20284106	1331_HTHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW214_S254_L001_R1_001.fastq.gz	HPW214_S254_L001_R2_001.fastq.gz				
SAMN20284107	1306_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW231_S268_L001_R1_001.fastq.gz	HPW231_S268_L001_R2_001.fastq.gz				
SAMN20284108	2564_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW123_S171_L001_R1_001.fastq.gz	HPW123_S171_L001_R2_001.fastq.gz				
SAMN20284109	1303_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW070_S69_L001_R1_001.fastq.gz	HPW070_S69_L001_R2_001.fastq.gz				
SAMN20284110	1296_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW103_S121_L001_R1_001.fastq.gz	HPW103_S121_L001_R2_001.fastq.gz				
SAMN20284111	2995_ATHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW195_S180_L001_R1_001.fastq.gz	HPW195_S180_L001_R2_001.fastq.gz				
SAMN20284112	1471_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW228_S232_L001_R1_001.fastq.gz	HPW228_S232_L001_R2_001.fastq.gz				
SAMN20284113	2197_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW090_S24_L001_R1_001.fastq.gz	HPW090_S24_L001_R2_001.fastq.gz				
SAMN20284114	1779_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW077_S58_L001_R1_001.fastq.gz	HPW077_S58_L001_R2_001.fastq.gz				
SAMN20284115	2873_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW192_S144_L001_R1_001.fastq.gz	HPW192_S144_L001_R2_001.fastq.gz				
SAMN20284116	1196_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW102_S109_L001_R1_001.fastq.gz	HPW102_S109_L001_R2_001.fastq.gz				
SAMN20284117	1225_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW074_S22_L001_R1_001.fastq.gz	HPW074_S22_L001_R2_001.fastq.gz				
SAMN20284118	2861_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW066_S21_L001_R1_001.fastq.gz	HPW066_S21_L001_R2_001.fastq.gz				
SAMN20284119	2064_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW111_S122_L001_R1_001.fastq.gz	HPW111_S122_L001_R2_001.fastq.gz				
SAMN20284120	1644_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW160_S140_L001_R1_001.fastq.gz	HPW160_S140_L001_R2_001.fastq.gz				
SAMN20284121	1168_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW086_S71_L001_R1_001.fastq.gz	HPW086_S71_L001_R2_001.fastq.gz				
SAMN20284122	1561_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW156_S187_L001_R1_001.fastq.gz	HPW156_S187_L001_R2_001.fastq.gz				
SAMN20284123	1220_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW210_S206_L001_R1_001.fastq.gz	HPW210_S206_L001_R2_001.fastq.gz				
SAMN20284124	2000_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW230_S256_L001_R1_001.fastq.gz	HPW230_S256_L001_R2_001.fastq.gz				
SAMN20284125	2300_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW175_S130_L001_R1_001.fastq.gz	HPW175_S130_L001_R2_001.fastq.gz				
SAMN20284126	1184_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW084_S47_L001_R1_001.fastq.gz	HPW084_S47_L001_R2_001.fastq.gz				
SAMN20284127	1345_HTHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW170_S165_L001_R1_001.fastq.gz	HPW170_S165_L001_R2_001.fastq.gz				
SAMN20284128	1676_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW191_S132_L001_R1_001.fastq.gz	HPW191_S132_L001_R2_001.fastq.gz				
SAMN20284129	2412_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW313_S308_L001_R1_001.fastq.gz	HPW313_S308_L001_R2_001.fastq.gz				
SAMN20284130	1757_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW171_S177_L001_R1_001.fastq.gz	HPW171_S177_L001_R2_001.fastq.gz				
SAMN20284131	2012_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW159_S128_L001_R1_001.fastq.gz	HPW159_S128_L001_R2_001.fastq.gz				
SAMN20284132	1436_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW109_S98_L001_R1_001.fastq.gz	HPW109_S98_L001_R2_001.fastq.gz				
SAMN20284133	1254_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW184_S143_L001_R1_001.fastq.gz	HPW184_S143_L001_R2_001.fastq.gz				
SAMN20284134	1051_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW149_S103_L001_R1_001.fastq.gz	HPW149_S103_L001_R2_001.fastq.gz				
SAMN20284135	1631_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW158_S116_L001_R1_001.fastq.gz	HPW158_S116_L001_R2_001.fastq.gz				
SAMN20284136	1776_ATAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW163_S176_L001_R1_001.fastq.gz	HPW163_S176_L001_R2_001.fastq.gz				
SAMN20284137	2877_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW073_S10_L001_R1_001.fastq.gz	HPW073_S10_L001_R2_001.fastq.gz				
SAMN20284138	1466_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW229_S244_L001_R1_001.fastq.gz	HPW229_S244_L001_R2_001.fastq.gz				
SAMN20284139	1705_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW265_S201_L001_R1_001.fastq.gz	HPW265_S201_L001_R2_001.fastq.gz				
SAMN20284140	2183_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW208_S277_L001_R1_001.fastq.gz	HPW208_S277_L001_R2_001.fastq.gz				
SAMN20284141	2866_ATHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW276_S238_L001_R1_001.fastq.gz	HPW276_S238_L001_R2_001.fastq.gz				
SAMN20284142	1330_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW258_S212_L001_R1_001.fastq.gz	HPW258_S212_L001_R2_001.fastq.gz				
SAMN20284143	1617_HTAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW264_S284_L001_R1_001.fastq.gz	HPW264_S284_L001_R2_001.fastq.gz				
SAMN20284144	1164_HTHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW281_S203_L001_R1_001.fastq.gz	HPW281_S203_L001_R2_001.fastq.gz				
SAMN20284145	2870_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW319_S299_L001_R1_001.fastq.gz	HPW319_S299_L001_R2_001.fastq.gz				
SAMN20284146	1227_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW216_S278_L001_R1_001.fastq.gz	HPW216_S278_L001_R2_001.fastq.gz				
SAMN20284147	2518_HTHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW219_S219_L001_R1_001.fastq.gz	HPW219_S219_L001_R2_001.fastq.gz				
SAMN20284148	2999_ATHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW249_S199_L001_R1_001.fastq.gz	HPW249_S199_L001_R2_001.fastq.gz				
SAMN20284149	1496_HTAC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW185_S155_L001_R1_001.fastq.gz	HPW185_S155_L001_R2_001.fastq.gz				
SAMN20284150	1103_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW092_S48_L001_R1_001.fastq.gz	HPW092_S48_L001_R2_001.fastq.gz				
SAMN20284151	1755_ATAC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW112_S134_L001_R1_001.fastq.gz	HPW112_S134_L001_R2_001.fastq.gz				
SAMN20284152	1246_HTHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW101_S97_L001_R1_001.fastq.gz	HPW101_S97_L001_R2_001.fastq.gz				
SAMN20284153	1128_HTHC	Microbiome metagenome (16S sequencing) from Montipora capitata	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW272_S285_L001_R1_001.fastq.gz	HPW272_S285_L001_R2_001.fastq.gz				
SAMN20284154	1721_HTHC	Microbiome metagenome (16S sequencing) from Pocillopora acuta	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Samples were prepared in the Putnam Lab at the University of Rhode Island using the lab's 16S sequencing protocol (available on github)	fastq	HPW278_S262_L001_R1_001.fastq.gz	HPW278_S262_L001_R2_001.fastq.gz				
