Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,NCBI_Sample_Title,NCBI_Sample_Name,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link,host_subject_id,Project
SITE 2,HIMB,3,M24,Mcapitata,20180904,1754_HTAC_HoloInt,1754_HTAC,1754,9,HTAC,High,Ambient,8 week,Molecular,13:35,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190718,ES,"1, 2",27.8,15.4,8,YES,17.05,12.4,7.7,90,90,90,90,2.502,1.5345,1.386,1.116,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW176,HoloInt
SITE 2,HIMB,3,P28,Pacuta,20180905,2202_HTHC_HoloInt,2202_HTHC,2202,10,HTHC,High,High,6 week,Molecular,13:20,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190724,ES,"101, 102",70.8,77.4,8.2,YES,50.8,50.8,7.6,90,90,90,90,6.372,4.572,6.966,4.572,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW201,HoloInt
SITE 3,Reef.18,2,P17,Pacuta,20180910,2305_HTHC_HoloInt,2305_HTHC,2305,5,HTHC,High,High,6 week,Molecular,13:39,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190724,ES,"103, 104",80.8,94.5,7.7,YES,83,63.2,7.7,90,90,90,90,7.272,7.47,8.505,5.688,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW316,HoloInt
SITE 2,HIMB,5,M46,Mcapitata,20180904,2862_ATHC_HoloInt,2862_ATHC,2862,11,ATHC,Ambient,High,6 week,Molecular,13:16,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190724,ES,"105, 106",30.2,20.9,8.8,YES,24,14.2,8.9,90,90,90,90,2.718,2.16,1.881,1.278,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW224,HoloInt
SITE 5,Reef.35.36,2,M19,Mcapitata,20180906,1260_ATHC_HoloInt,1260_ATHC,1260,3,ATHC,Ambient,High,4 week,Molecular,13:26,NA,20181020,Alive,NA,In Freezer at URI,20181210,20190724,ES,"107, 108",19.6,16.8,8.8,YES,11.9,11.1,8.1,90,90,90,90,1.764,1.071,1.512,0.999,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW147,HoloInt
SITE 3,Reef.18,6,M60,Mcapitata,20180910,2561_ATHC_HoloInt,2561_ATHC,2561,12,ATHC,Ambient,High,12 hour,Molecular,19:21,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190724,ES,"109, 110",14.8,16.7,8,YES,16.9,12.4,8.2,90,90,95,95,1.332,1.521,1.5865,1.178,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW241,HoloInt
SITE 2,HIMB,4,P32,Pacuta,20180905,1131_HTHC_HoloInt,1131_HTHC,1131,2,HTHC,High,High,6 week,Molecular,13:33,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190718,ES,"11, 12",35.1,57.8,8,YES,30.5,48.5,7.7,90,90,90,90,3.159,2.745,5.202,4.365,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-18-Soft-and-Hard-Homogenization-%231-32.md,NA,HPW302,HoloInt
SITE 1,Lilipuna.Fringe,6,P53,Pacuta,20180908,1732_HTHC_HoloInt,1732_HTHC,1732,10,HTHC,High,High,8 week,Molecular,13:39,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190724,ES,"111, 112",46.2,54.5,8.4,YES,42.6,37.3,8.1,90,90,90,90,4.158,3.834,4.905,3.357,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW137,HoloInt
SITE 1,Lilipuna.Fringe,6,P59,Pacuta,20180908,2743_ATHC_HoloInt,2743_ATHC,2743,12,ATHC,Ambient,High,0 hour,Molecular,7:28,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190724,ES,"113, 114",106,103,7,YES,101,69,6.5,90,90,90,90,9.54,9.09,9.27,6.21,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW301,HoloInt
SITE 5,Reef.35.36,5,P42,Pacuta,20180906,1219_ATHC_HoloInt,1219_ATHC,1219,3,ATHC,Ambient,High,6 hour,Molecular,13:23,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190724,ES,"115, 116",77.4,75.7,7.4,YES,40.2,53,7.4,90,90,95,95,6.966,3.618,7.1915,5.035,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,NA,HPW183,HoloInt
